component,formula,descriptor: R1e+,descriptor: MATS1m,descriptor: X1sol,descriptor: Me,descriptor: ESpm02d,experiment: Tboil /K
"1,1,1,2,2,3,3,4,4-Nonafluorobutane",C4HF9,0.252,-0.187,1.914,1.31,4.159,288.25
"1,1,1,2-Tetrachloro-2-fluoroethane",C2HCl4F ,0.24,-0.303,3.664,1.22,3.267,390.15
"1,1,1,2-Tetrachloroethane",C2H2Cl4,0.384,-0.4,3.664,1.18,3.077,403.75
"1,1,1,2-Tetrafluoroethane",C2H2F4,0.442,-0.4,1,1.3,3.27,247.05
"1,1,1-Trichloro-2-fluoroethane",C2H2Cl3F,0.442,-0.284,2.75,1.21,3.07,366
"1,1,1-Trichlorotrifluoroethane",C2Cl3F3,0.182,-0.198,2.75,1.27,3.524,318.85
"1,1,2-Trichloro-1-fluoroethane",C2H2Cl3F,0.384,-0.284,3.201,1.21,3.21,361.15
"1,1,2-Trichlorotrifluoroethane",C2Cl3F3,0.182,-0.198,3.201,1.27,3.615,320.75
"1,1-Dichloro-1,2,2-trifluoroethane",C2HCl2F3,0.24,-0.186,2.309,1.27,3.374,303
"1,1-Dichloro-1,2-difluoroethane",C2H2Cl2F2,0.442,-0.213,2.309,1.24,3.204,315.33
"1,1-Dichloro-2,2-difluoroethylene",C2Cl2F2,0.286,-0.213,2.309,1.24,3.018,292.15
"1,1-Dichlorotetrafluoroethane",C2Cl2F4,0.182,-0.168,2.309,1.29,3.611,276.17
"1,2-Dibromo-1,1-difluoroethane",C2H2Br2F2,0.355,-0.134,3.328,1.21,3.263,365.65
"1,2-Dibromotetrafluoroethane",C2Br2F4,0.22,-0.079,3.328,1.27,3.651,320.45
"1,2-Dichloro-1,1,2-trifluoroethane",C2HCl2F3,0.24,-0.186,2.621,1.27,3.439,303.15
"1,1,1,2,3,3,3-Heptafluoropropane",C3HF7,0.182,-0.259,1.414,1.28,3.849,257.55
"1,1,1,2,3,3-Hexafluoropropane",C3H2F6,0.192,-0.25,1.414,1.24,3.655,279.35
"1,1,1,3,3-Pentafluoropropane",C3H3F5,0.193,-0.238,1.414,1.19,3.478,288.25
"1,1,1-Trifluoroethane",C2H3F3,0.184,-0.375,1,1.15,2.988,225.95
"1,1,2,2-Tetrachloroethane",C2H2Cl4,0.142,-0.4,3.797,1.12,2.932,419.45
"1,1,2,2-Tetrafluoropropane",C3H4F4,0.192,-0.222,1.414,1.14,3.336,272.35
"1,1,2-Trichloro-2-fluoroethane",C2H2Cl3F,0.184,-0.284,3.201,1.14,3.025,375.65
"1,1,2-Trichloroethane",C2H3Cl3,0.138,-0.375,3.201,1.08,2.661,386.65
"1,1-Dichloro-2,2-difluoroethane",C2H2Cl2F2,0.165,-0.213,2.309,1.17,3.018,333.15
"1,1-Dichloroethane",C2H4Cl2,0.15,-0.333,2.309,1.04,2.291,330.45
"1,2-Dichloro-1,1,3,3,3-pentafluoropropane",C3HCl2F5,0.176,-0.11,2.912,1.25,3.856,323.95
"1,2-Dichloro-1-fluoroethane",C2H3Cl2F,0.186,-0.256,2.621,1.1,2.782,346.95
"1,2-Dichlorotetrafluoroethane",C2Cl2F4,0.168,-0.168,2.621,1.29,3.663,276.75
"1,3-Dichloro-1,1,2,2,3,3-hexafluoropropane",C3Cl2F6,0.164,-0.106,3.121,1.3,4.017,308.85
"1-Chloro-1,1,2,2-tetrafluoroethane",C2HClF4,0.179,-0.171,1.768,1.25,3.419,261.45
"1-Chloro-1,1,2,3,3,3-hexafluoropropane",C3HClF6,0.176,-0.114,2.268,1.27,3.853,290.75
"1-Chloro-1,1,2-Trifluoroethane",C2H2ClF3,0.179,-0.179,1.768,1.19,3.189,285.15
"1-Chloro-1,1-difluoroethane",C2H3ClF2,0.18,-0.191,1.768,1.12,2.995,264.15
"1-Chloro-1,2-difluoroethane",C2H3ClF2,0.192,-0.191,1.768,1.12,2.772,280.69
1-Chloro-1-fluoroethane,C2H4ClF,0.19,-0.21,1.768,1.06,2.461,289.35
"2,2,2-Trifluoroethyl methyl ether",C3H5F3O,0.216,-0.428,1.914,1.12,3.232,304.77
"2,2-Dichloro-1,1,1-trifluoroethane",C2HCl2F3,0.181,-0.186,2.309,1.23,3.358,300.95
"2,3-Dichloro-1,1,1,3-tetrafluoropropane",C3H2Cl2F4,0.179,-0.116,2.912,1.2,3.663,343.25
"2,3-Dichloro-1,1,1-trifluoropropane",C3H3Cl2F3,0.185,-0.123,2.912,1.16,3.488,349.85
"2-Chloro-1,1,1,2,3,3,3-heptafluoropropane",C3ClF7,0.176,-0.115,2.021,1.31,4.014,271.15
"2-Chloro-1,1,1,2-tetrafluoroethane",C2HClF4,0.182,-0.171,1.768,1.25,3.419,261.15
"3-Chloro-1,1,1-trifluoropropane",C3H4ClF3,0.187,-0.113,2.268,1.13,3.269,318.25
Bis(difluoromethyl)ether,C2H2F4O,0.206,-0.695,1.414,1.23,3.243,275
Bromodifluoromethane,CHBrF2,0.073,-0.184,2,1.2,2.621,258.6
Butane,C4H10,0.142,1,1.914,0.96,1.609,272.65
Tetrachloromethane,CCl4,0,-1,3,1.21,2.757,349.85
Chlorodifluoromethane,CHClF2,0.064,-0.393,1.5,1.22,2.639,232.35
Chloroheptafluorocyclobutane,C4ClF7,0.165,0,2.683,1.29,4.211,298.75
Chloromethane,CH3Cl,0.056,-1,1.5,1.02,1.234,248.95
Chlorotrifluoroethylene,C2ClF3,0.173,-0.179,1.768,1.27,3.103,245.25
Chlorotrifluoromethane,CClF3,0.037,-0.327,1.5,1.33,3.103,191.85
Decafluorobutane,C4F10,0.166,-0.192,1.914,1.32,4.274,271.25
Dibromodifluoromethane,CBr2F2,0.06,-0.232,2.828,1.25,3.088,295.91
"1,2-Dichloro-1,2-difluoroethane",C2H2Cl2F2,0.179,-0.213,2.621,1.17,3.196,332.75
Dichlorodifluoromethane,CCl2F2,0.045,-0.406,2.121,1.29,3.018,243.35
Dichlorofluoromethane,CHCl2F,0.078,-0.573,2.121,1.19,2.498,282.05
"1,2-Dichloro-1,2,3,3,4,4-hexafluorocyclobutane",C4Cl2F6,0.164,0,3.207,1.27,4.183,332.65
Dichloromethane,CH2Cl2,0.072,-1,2.121,1.08,1.772,313.25
